geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,postcode,easting,northing,gisfid,suburb,googlemaps_drive_to
"-38.1420399632, 145.203185185","{""coordinates"": [145.203185185, -38.1420399632], ""type"": ""Point""}",MGA2020 Zone 55,51280,Eileen Ct/Granite Dr (Langwarrin),-38.14203996324832,145.20318518497558,3910,342543,5776901,589,Langwarrin,"https://www.google.com.au/maps/dir//-38.14203996324832,145.20318518497558/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1421179934, 145.202988985","{""coordinates"": [145.202988985, -38.1421179934], ""type"": ""Point""}",MGA2020 Zone 55,51281,Eileen Ct/Granite Dr (Langwarrin),-38.142117993427135,145.2029889849881,3910,342526,5776892,590,Langwarrin,"https://www.google.com.au/maps/dir//-38.142117993427135,145.2029889849881/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9295240427, 145.2037521792","{""coordinates"": [145.2037521792, -37.9295240427], ""type"": ""Point""}",MGA2020 Zone 55,1464,Odessa Ct/Haverbrack Dr (Mulgrave),-37.9295240426724,145.20375217921585,3170,342137,5800484,846,Mulgrave,"https://www.google.com.au/maps/dir//-37.9295240426724,145.20375217921585/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9387299606, 145.2052461787","{""coordinates"": [145.2052461787, -37.9387299606], ""type"": ""Point""}",MGA2020 Zone 55,2342,Blaxland Dr/Police Rd (Dandenong North),-37.93872996061307,145.205246178739,3175,342288,5799465,852,Dandenong North,"https://www.google.com.au/maps/dir//-37.93872996061307,145.205246178739/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9361570404, 145.2013830227","{""coordinates"": [145.2013830227, -37.9361570404], ""type"": ""Point""}",MGA2020 Zone 55,2345,Dunrossil Cl/Haverbrack Dr (Mulgrave),-37.936157040411985,145.20138302265596,3170,341943,5799744,855,Mulgrave,"https://www.google.com.au/maps/dir//-37.936157040411985,145.20138302265596/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9342909796, 145.204886899","{""coordinates"": [145.204886899, -37.9342909796], ""type"": ""Point""}",MGA2020 Zone 55,2346,Addison Ct/Haverbrack Dr (Mulgrave),-37.93429097955907,145.20488689900827,3170,342247,5799957,856,Mulgrave,"https://www.google.com.au/maps/dir//-37.93429097955907,145.20488689900827/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9295949627, 145.2036358999","{""coordinates"": [145.2036358999, -37.9295949627], ""type"": ""Point""}",MGA2020 Zone 55,2348,Odessa Ct/Haverbrack Dr (Mulgrave),-37.929594962677974,145.20363589992706,3170,342127,5800476,858,Mulgrave,"https://www.google.com.au/maps/dir//-37.929594962677974,145.20363589992706/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9379930421, 145.1976739461","{""coordinates"": [145.1976739461, -37.9379930421], ""type"": ""Point""}",MGA2020 Zone 55,22682,Haverbrack Dr/Police Rd (Mulgrave),-37.937993042074126,145.19767394606032,3170,341621,5799534,860,Mulgrave,"https://www.google.com.au/maps/dir//-37.937993042074126,145.19767394606032/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9246529756, 145.1951899504","{""coordinates"": [145.1951899504, -37.9246529756], ""type"": ""Point""}",MGA2020 Zone 55,22714,Wellington Rd/Jacksons Rd (Mulgrave),-37.92465297560523,145.19518995040534,3170,341374,5801010,861,Mulgrave,"https://www.google.com.au/maps/dir//-37.92465297560523,145.19518995040534/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9248740146, 145.2013959823","{""coordinates"": [145.2013959823, -37.9248740146], ""type"": ""Point""}",MGA2020 Zone 55,2350,Holmbury Bvd/Haverbrack Dr (Mulgrave),-37.92487401458667,145.20139598225774,3170,341920,5800996,864,Mulgrave,"https://www.google.com.au/maps/dir//-37.92487401458667,145.20139598225774/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9385890233, 145.1924820299","{""coordinates"": [145.1924820299, -37.9385890233], ""type"": ""Point""}",MGA2020 Zone 55,2603,Police Rd/Jacksons Rd (Noble Park North),-37.9385890232558,145.19248202993444,3174,341166,5799459,867,Noble Park North,"https://www.google.com.au/maps/dir//-37.9385890232558,145.19248202993444/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9273910449, 145.1944861518","{""coordinates"": [145.1944861518, -37.9273910449], ""type"": ""Point""}",MGA2020 Zone 55,3065,Stirling Theological College/Jacksons Rd (Mulgrave),-37.92739104489955,145.19448615184754,3170,341318,5800705,869,Mulgrave,"https://www.google.com.au/maps/dir//-37.92739104489955,145.19448615184754/@your+location,17z/data=!4m2!4m1!3e0"
"-37.929519994, 145.1940811521","{""coordinates"": [145.1940811521, -37.929519994], ""type"": ""Point""}",MGA2020 Zone 55,3066,Gate Seven Dr/Jacksons Rd (Mulgrave),-37.92951999400064,145.1940811520962,3170,341287,5800468,870,Mulgrave,"https://www.google.com.au/maps/dir//-37.92951999400064,145.1940811520962/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9383090315, 145.2018881014","{""coordinates"": [145.2018881014, -37.9383090315], ""type"": ""Point""}",MGA2020 Zone 55,2854,Blackmore St/Police Rd (Dandenong North),-37.93830903153041,145.20188810141005,3170,341992,5799506,880,Dandenong North,"https://www.google.com.au/maps/dir//-37.93830903153041,145.20188810141005/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0260520139, 145.2432419964","{""coordinates"": [145.2432419964, -38.0260520139], ""type"": ""Point""}",MGA2020 Zone 55,1791,Pound Rd/South Gippsland Hwy (Dandenong South),-38.02605201387376,145.2432419964321,3175,345810,5789839,1468,Dandenong South,"https://www.google.com.au/maps/dir//-38.02605201387376,145.2432419964321/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0248170337, 145.2431800748","{""coordinates"": [145.2431800748, -38.0248170337], ""type"": ""Point""}",MGA2020 Zone 55,2161,Pound Rd/South Gippsland Hwy (Dandenong South),-38.02481703371061,145.2431800748141,3175,345802,5789976,1534,Dandenong South,"https://www.google.com.au/maps/dir//-38.02481703371061,145.2431800748141/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0049769827, 145.2272529841","{""coordinates"": [145.2272529841, -38.0049769827], ""type"": ""Point""}",MGA2020 Zone 55,1769,Fowler Rd/South Gippsland Hwy (Dandenong South),-38.004976982710474,145.22725298408753,3175,344362,5792151,1648,Dandenong South,"https://www.google.com.au/maps/dir//-38.004976982710474,145.22725298408753/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0010770122, 145.2291800598","{""coordinates"": [145.2291800598, -38.0010770122], ""type"": ""Point""}",MGA2020 Zone 55,18165,South Gippsland Hwy/Princes Hwy (Dandenong South),-38.00107701223123,145.22918005975438,3175,344523,5792587,1652,Dandenong South,"https://www.google.com.au/maps/dir//-38.00107701223123,145.22918005975438/@your+location,17z/data=!4m2!4m1!3e0"
