geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,postcode,easting,northing,gisfid,suburb,googlemaps_drive_to
"-38.0272689915, 145.31215108","{""coordinates"": [145.31215108, -38.0272689915], ""type"": ""Point""}",MGA2020 Zone 55,4218,Lloyd Ave/Princes Hwy (Narre Warren),-38.02726899146901,145.31215108003403,3805,351861,5789816,1043,Narre Warren,"https://www.google.com.au/maps/dir//-38.02726899146901,145.31215108003403/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0213000097, 145.2994369428","{""coordinates"": [145.2994369428, -38.0213000097], ""type"": ""Point""}",MGA2020 Zone 55,4223,Casey Aquatic & Recreation Centre/Princes Hwy (Narre Warren),-38.021300009736244,145.29943694279274,3805,350733,5790458,1046,Narre Warren,"https://www.google.com.au/maps/dir//-38.021300009736244,145.29943694279274/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0173370402, 145.2940041738","{""coordinates"": [145.2940041738, -38.0173370402], ""type"": ""Point""}",MGA2020 Zone 55,4224,Fountain Gate Tennis Club/Princes Hwy (Narre Warren),-38.017337040202825,145.29400417376195,3805,350248,5790889,1047,Narre Warren,"https://www.google.com.au/maps/dir//-38.017337040202825,145.29400417376195/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0290709716, 145.3272509031","{""coordinates"": [145.3272509031, -38.0290709716], ""type"": ""Point""}",MGA2020 Zone 55,4216,Cyril Molyneux Reserve/Princes Hwy (Berwick),-38.029070971588986,145.32725090307224,3806,353190,5789640,1055,Berwick,"https://www.google.com.au/maps/dir//-38.029070971588986,145.32725090307224/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0125960223, 145.3303130756","{""coordinates"": [145.3303130756, -38.0125960223], ""type"": ""Point""}",MGA2020 Zone 55,45729,Bullfinch Way/Whistler Dr (Berwick),-38.01259602232241,145.3303130756092,3806,353426,5791473,1064,Berwick,"https://www.google.com.au/maps/dir//-38.01259602232241,145.3303130756092/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0260790093, 145.2896769821","{""coordinates"": [145.2896769821, -38.0260790093], ""type"": ""Point""}",MGA2020 Zone 55,3083,Edgewood Cl/Harold Keys Dr (Narre Warren South),-38.02607900932979,145.2896769821389,3805,349886,5789912,1070,Narre Warren South,"https://www.google.com.au/maps/dir//-38.02607900932979,145.2896769821389/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0289490219, 145.3288140236","{""coordinates"": [145.3288140236, -38.0289490219], ""type"": ""Point""}",MGA2020 Zone 55,3693,Parkhill Dr/Princes Hwy (Berwick),-38.02894902186579,145.32881402357043,3806,353327,5789656,1071,Berwick,"https://www.google.com.au/maps/dir//-38.02894902186579,145.32881402357043/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0298819618, 145.3354581895","{""coordinates"": [145.3354581895, -38.0298819618], ""type"": ""Point""}",MGA2020 Zone 55,3695,Wilson Botanic Park/Princes Hwy (Berwick),-38.02988196179158,145.33545818953277,3806,353912,5789563,1073,Berwick,"https://www.google.com.au/maps/dir//-38.02988196179158,145.33545818953277/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0306979925, 145.3402710323","{""coordinates"": [145.3402710323, -38.0306979925], ""type"": ""Point""}",MGA2020 Zone 55,3696,York Rd/Princes Hwy (Berwick),-38.030697992507015,145.34027103228476,3806,354336,5789480,1074,Berwick,"https://www.google.com.au/maps/dir//-38.030697992507015,145.34027103228476/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0308809634, 145.3449488711","{""coordinates"": [145.3449488711, -38.0308809634], ""type"": ""Point""}",MGA2020 Zone 55,3697,Berwick Village SC/High St (Berwick),-38.030880963366904,145.34494887108497,3806,354747,5789467,1075,Berwick,"https://www.google.com.au/maps/dir//-38.030880963366904,145.34494887108497/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0058550227, 145.2895660925","{""coordinates"": [145.2895660925, -38.0058550227], ""type"": ""Point""}",MGA2020 Zone 55,3740,Susan Cl/Saffron Dr (Narre Warren),-38.00585502270829,145.289566092535,3805,349835,5792156,1078,Narre Warren,"https://www.google.com.au/maps/dir//-38.00585502270829,145.289566092535/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0303690408, 145.2878341375","{""coordinates"": [145.2878341375, -38.0303690408], ""type"": ""Point""}",MGA2020 Zone 55,3085,Grenfell Rise/Harold Keys Dr (Narre Warren South),-38.03036904084248,145.28783413749056,3805,349733,5789433,1086,Narre Warren South,"https://www.google.com.au/maps/dir//-38.03036904084248,145.28783413749056/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0309319905, 145.2961951371","{""coordinates"": [145.2961951371, -38.0309319905], ""type"": ""Point""}",MGA2020 Zone 55,3821,Frederick Rise/Harold Keys Dr (Narre Warren South),-38.03093199051375,145.29619513712925,3805,350468,5789384,1087,Narre Warren South,"https://www.google.com.au/maps/dir//-38.03093199051375,145.29619513712925/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0261619894, 145.2898119812","{""coordinates"": [145.2898119812, -38.0261619894], ""type"": ""Point""}",MGA2020 Zone 55,3824,Edgewood Cl/Harold Keys Dr (Narre Warren South),-38.026161989428736,145.28981198120331,3805,349898,5789903,1090,Narre Warren South,"https://www.google.com.au/maps/dir//-38.026161989428736,145.28981198120331/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0280789903, 145.2884119398","{""coordinates"": [145.2884119398, -38.0280789903], ""type"": ""Point""}",MGA2020 Zone 55,3825,Rochford Pl/Harold Keys Dr (Narre Warren South),-38.028078990279774,145.2884119398069,3805,349779,5789688,1091,Narre Warren South,"https://www.google.com.au/maps/dir//-38.028078990279774,145.2884119398069/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0192039999, 145.2965349761","{""coordinates"": [145.2965349761, -38.0192039999], ""type"": ""Point""}",MGA2020 Zone 55,4327,Max Pawsey Reserve/Princes Hwy (Narre Warren),-38.01920399993135,145.29653497611395,3805,350474,5790686,1094,Narre Warren,"https://www.google.com.au/maps/dir//-38.01920399993135,145.29653497611395/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0173930209, 145.2947090527","{""coordinates"": [145.2947090527, -38.0173930209], ""type"": ""Point""}",MGA2020 Zone 55,3685,Fountain Gate Tennis Club/Princes Hwy (Narre Warren),-38.01739302085506,145.29470905269005,3805,350310,5790884,1096,Narre Warren,"https://www.google.com.au/maps/dir//-38.01739302085506,145.29470905269005/@your+location,17z/data=!4m2!4m1!3e0"
"-38.028606031, 145.3256211807","{""coordinates"": [145.3256211807, -38.028606031], ""type"": ""Point""}",MGA2020 Zone 55,3692,Cyril Molyneux Reserve/Princes Hwy (Berwick),-38.028606031029035,145.3256211806805,3806,353046,5789689,1102,Berwick,"https://www.google.com.au/maps/dir//-38.028606031029035,145.3256211806805/@your+location,17z/data=!4m2!4m1!3e0"
"-38.016102962, 145.3354740291","{""coordinates"": [145.3354740291, -38.016102962], ""type"": ""Point""}",MGA2020 Zone 55,45731,Bellbird Park/Bluebird Dr (Berwick),-38.01610296198596,145.33547402906183,3806,353886,5791092,1103,Berwick,"https://www.google.com.au/maps/dir//-38.01610296198596,145.33547402906183/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0217989714, 145.3285440206","{""coordinates"": [145.3285440206, -38.0217989714], ""type"": ""Point""}",MGA2020 Zone 55,45735,Bayliss Ct/Telford Dr (Berwick),-38.02179897137107,145.328544020604,3806,353289,5790449,1107,Berwick,"https://www.google.com.au/maps/dir//-38.02179897137107,145.328544020604/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0236869914, 145.3332859434","{""coordinates"": [145.3332859434, -38.0236869914], ""type"": ""Point""}",MGA2020 Zone 55,45738,Grenville Ct/Avebury Dr (Berwick),-38.02368699135926,145.33328594337797,3806,353709,5790247,1110,Berwick,"https://www.google.com.au/maps/dir//-38.02368699135926,145.33328594337797/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0313000036, 145.345930951","{""coordinates"": [145.345930951, -38.0313000036], ""type"": ""Point""}",MGA2020 Zone 55,3467,Berwick Village SC/High St (Berwick),-38.03130000357674,145.34593095095636,3806,354834,5789422,1117,Berwick,"https://www.google.com.au/maps/dir//-38.03130000357674,145.34593095095636/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0296350016, 145.3314081865","{""coordinates"": [145.3314081865, -38.0296350016], ""type"": ""Point""}",MGA2020 Zone 55,3470,William Rd/Princes Hwy (Berwick),-38.029635001559846,145.33140818652643,3806,353556,5789584,1120,Berwick,"https://www.google.com.au/maps/dir//-38.029635001559846,145.33140818652643/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0662700419, 145.3144921379","{""coordinates"": [145.3144921379, -38.0662700419], ""type"": ""Point""}",MGA2020 Zone 55,12828,Robinswood Pde/Heritage Dr (Narre Warren South),-38.06627004194991,145.3144921378998,3805,352145,5785492,1125,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06627004194991,145.3144921378998/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0630970024, 145.3100169768","{""coordinates"": [145.3100169768, -38.0630970024], ""type"": ""Point""}",MGA2020 Zone 55,12830,Peony Ct/The Promenade (Narre Warren South),-38.06309700243162,145.31001697675617,3805,351746,5785837,1127,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06309700243162,145.31001697675617/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0644190117, 145.305426977","{""coordinates"": [145.305426977, -38.0644190117], ""type"": ""Point""}",MGA2020 Zone 55,12832,Galloway Dr/Littlecroft Ave (Narre Warren South),-38.06441901174514,145.3054269769738,3805,351346,5785683,1128,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06441901174514,145.3054269769738/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0575549826, 145.2900960214","{""coordinates"": [145.2900960214, -38.0575549826], ""type"": ""Point""}",MGA2020 Zone 55,12837,President Rd/Ormond Rd (Narre Warren South),-38.057554982626925,145.29009602143776,3805,349987,5786420,1133,Narre Warren South,"https://www.google.com.au/maps/dir//-38.057554982626925,145.29009602143776/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0535930016, 145.2878291027","{""coordinates"": [145.2878291027, -38.0535930016], ""type"": ""Point""}",MGA2020 Zone 55,12839,Scarborough Dr/Ormond Rd (Narre Warren South),-38.05359300163126,145.28782910274649,3805,349780,5786856,1134,Narre Warren South,"https://www.google.com.au/maps/dir//-38.05359300163126,145.28782910274649/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0530269925, 145.292343851","{""coordinates"": [145.292343851, -38.0530269925], ""type"": ""Point""}",MGA2020 Zone 55,12841,Ernest Cres/Seebeck Dr (Narre Warren South),-38.053026992545036,145.29234385101452,3805,350175,5786926,1136,Narre Warren South,"https://www.google.com.au/maps/dir//-38.053026992545036,145.29234385101452/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0534280326, 145.2938389283","{""coordinates"": [145.2938389283, -38.0534280326], ""type"": ""Point""}",MGA2020 Zone 55,12842,Abercairn Dr/Baringa Park Dr (Narre Warren South),-38.053428032605765,145.29383892833482,3805,350307,5786884,1137,Narre Warren South,"https://www.google.com.au/maps/dir//-38.053428032605765,145.29383892833482/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0587699833, 145.2993001346","{""coordinates"": [145.2993001346, -38.0587699833], ""type"": ""Point""}",MGA2020 Zone 55,12844,Narre Warren-Cranbourne Rd/Baringa Park Dr (Narre Warren South),-38.058769983319046,145.29930013464002,3805,350797,5786300,1139,Narre Warren South,"https://www.google.com.au/maps/dir//-38.058769983319046,145.29930013464002/@your+location,17z/data=!4m2!4m1!3e0"
"-38.063019963, 145.3191368665","{""coordinates"": [145.3191368665, -38.063019963], ""type"": ""Point""}",MGA2020 Zone 55,12878,Ellen Rd/Berwick Springs Prom (Narre Warren South),-38.06301996303037,145.31913686650856,3805,352546,5785860,1143,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06301996303037,145.31913686650856/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0632310121, 145.3099791761","{""coordinates"": [145.3099791761, -38.0632310121], ""type"": ""Point""}",MGA2020 Zone 55,13462,Wattle Gr/The Promenade (Narre Warren South),-38.06323101207484,145.30997917609506,3805,351743,5785822,1148,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06323101207484,145.30997917609506/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0655739829, 145.3011710588","{""coordinates"": [145.3011710588, -38.0655739829], ""type"": ""Point""}",MGA2020 Zone 55,13465,Casey Central SC/Littlecroft Ave (Narre Warren South),-38.06557398292073,145.30117105883488,3805,350975,5785548,1151,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06557398292073,145.30117105883488/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0524809625, 145.2888241392","{""coordinates"": [145.2888241392, -38.0524809625], ""type"": ""Point""}",MGA2020 Zone 55,13472,Amberly Park SC/Seebeck Dr (Narre Warren South),-38.05248096254612,145.288824139204,3805,349865,5786981,1157,Narre Warren South,"https://www.google.com.au/maps/dir//-38.05248096254612,145.288824139204/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0539680321, 145.2944188866","{""coordinates"": [145.2944188866, -38.0539680321], ""type"": ""Point""}",MGA2020 Zone 55,13473,Abercairn Dr/Baringa Park Dr (Narre Warren South),-38.05396803210521,145.29441888659224,3805,350359,5786825,1158,Narre Warren South,"https://www.google.com.au/maps/dir//-38.05396803210521,145.29441888659224/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0577400229, 145.2966570114","{""coordinates"": [145.2966570114, -38.0577400229], ""type"": ""Point""}",MGA2020 Zone 55,13475,River Gum Creek Reserve/Baringa Park Dr (Narre Warren South),-38.057740022865005,145.29665701142306,3805,350563,5786410,1160,Narre Warren South,"https://www.google.com.au/maps/dir//-38.057740022865005,145.29665701142306/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0498990432, 145.3021830176","{""coordinates"": [145.3021830176, -38.0498990432], ""type"": ""Point""}",MGA2020 Zone 55,13478,Casey College/Narre Warren-Cranbourne Rd (Narre Warren South),-38.04989904315479,145.302183017643,3805,351032,5787289,1162,Narre Warren South,"https://www.google.com.au/maps/dir//-38.04989904315479,145.302183017643/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0589210033, 145.3004481766","{""coordinates"": [145.3004481766, -38.0589210033], ""type"": ""Point""}",MGA2020 Zone 55,13534,Baringa Park Dr/Narre Warren-Cranbourne Rd (Narre Warren South),-38.0589210032808,145.30044817662593,3805,350898,5786285,1165,Narre Warren South,"https://www.google.com.au/maps/dir//-38.0589210032808,145.30044817662593/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0528530239, 145.3014428567","{""coordinates"": [145.3014428567, -38.0528530239], ""type"": ""Point""}",MGA2020 Zone 55,13552,Pound Rd/Narre Warren-Cranbourne Rd (Narre Warren South),-38.052853023879194,145.30144285668425,3805,350973,5786960,1166,Narre Warren South,"https://www.google.com.au/maps/dir//-38.052853023879194,145.30144285668425/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0662090224, 145.2990139403","{""coordinates"": [145.2990139403, -38.0662090224], ""type"": ""Point""}",MGA2020 Zone 55,14110,Casey Central SC/Narre Warren-Cranbourne Rd (Narre Warren South),-38.06620902245023,145.29901394034002,3805,350787,5785474,1173,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06620902245023,145.29901394034002/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0803220135, 145.2965198584","{""coordinates"": [145.2965198584, -38.0803220135], ""type"": ""Point""}",MGA2020 Zone 55,14111,Sierra Bvd/Narre Warren-Cranbourne Rd (Cranbourne North),-38.08032201349544,145.2965198583641,3977,350597,5783904,1174,Cranbourne North,"https://www.google.com.au/maps/dir//-38.08032201349544,145.2965198583641/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0844729947, 145.2925929658","{""coordinates"": [145.2925929658, -38.0844729947], ""type"": ""Point""}",MGA2020 Zone 55,14112,Rapallo Way/Thompsons Rd (Cranbourne),-38.08447299473386,145.29259296584982,3977,350261,5783437,1175,Cranbourne,"https://www.google.com.au/maps/dir//-38.08447299473386,145.29259296584982/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0498000417, 145.3452069884","{""coordinates"": [145.3452069884, -38.0498000417], ""type"": ""Point""}",MGA2020 Zone 55,14589,Eddie Baron Reserve/Bemersyde Dr (Berwick),-38.049800041749684,145.34520698840052,3806,354807,5787368,1177,Berwick,"https://www.google.com.au/maps/dir//-38.049800041749684,145.34520698840052/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0517570016, 145.3485020655","{""coordinates"": [145.3485020655, -38.0517570016], ""type"": ""Point""}",MGA2020 Zone 55,14590,Brentwood Park PS/Chirnside Rd (Berwick),-38.05175700161713,145.34850206553287,3806,355100,5787156,1178,Berwick,"https://www.google.com.au/maps/dir//-38.05175700161713,145.34850206553287/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0510350219, 145.347104907","{""coordinates"": [145.347104907, -38.0510350219], ""type"": ""Point""}",MGA2020 Zone 55,14603,Brentwood Park PS/Bemersyde Dr (Berwick),-38.0510350218676,145.3471049070236,3806,354976,5787234,1181,Berwick,"https://www.google.com.au/maps/dir//-38.0510350218676,145.3471049070236/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0494620021, 145.3416480326","{""coordinates"": [145.3416480326, -38.0494620021], ""type"": ""Point""}",MGA2020 Zone 55,14605,Carluke Cl/Bemersyde Dr (Berwick),-38.04946200210294,145.34164803261098,3806,354494,5787400,1183,Berwick,"https://www.google.com.au/maps/dir//-38.04946200210294,145.34164803261098/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0561490015, 145.3391258732","{""coordinates"": [145.3391258732, -38.0561490015], ""type"": ""Point""}",MGA2020 Zone 55,14830,Homestead Rd/Clyde Rd (Berwick),-38.05614900149958,145.33912587321313,3806,354286,5786654,1185,Berwick,"https://www.google.com.au/maps/dir//-38.05614900149958,145.33912587321313/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0491419623, 145.3267141576","{""coordinates"": [145.3267141576, -38.0491419623], ""type"": ""Point""}",MGA2020 Zone 55,14837,Knox St/Centre Rd (Berwick),-38.04914196233164,145.3267141575843,3806,353183,5787412,1190,Berwick,"https://www.google.com.au/maps/dir//-38.04914196233164,145.3267141575843/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0985759953, 145.286961886","{""coordinates"": [145.286961886, -38.0985759953], ""type"": ""Point""}",MGA2020 Zone 55,16225,Barkly St/Camms Rd (Cranbourne),-38.09857599531438,145.28696188595356,3977,349796,5781863,1194,Cranbourne,"https://www.google.com.au/maps/dir//-38.09857599531438,145.28696188595356/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0796270344, 145.2859448487","{""coordinates"": [145.2859448487, -38.0796270344], ""type"": ""Point""}",MGA2020 Zone 55,17447,Brentwood Dr/Courtenay Ave (Cranbourne North),-38.079627034420874,145.28594484867122,3977,349668,5783964,1197,Cranbourne North,"https://www.google.com.au/maps/dir//-38.079627034420874,145.28594484867122/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0805210041, 145.2903591713","{""coordinates"": [145.2903591713, -38.0805210041], ""type"": ""Point""}",MGA2020 Zone 55,17527,Lansell Dr/Brentwood Dr (Cranbourne North),-38.08052100407478,145.29035917126305,3977,350057,5783872,1203,Cranbourne North,"https://www.google.com.au/maps/dir//-38.08052100407478,145.29035917126305/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0613220224, 145.2857799945","{""coordinates"": [145.2857799945, -38.0613220224], ""type"": ""Point""}",MGA2020 Zone 55,21905,Strathaird Dr/Sherwood Rd (Narre Warren South),-38.061322022409534,145.28577999451142,3805,349616,5785995,1216,Narre Warren South,"https://www.google.com.au/maps/dir//-38.061322022409534,145.28577999451142/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0613690024, 145.2859268734","{""coordinates"": [145.2859268734, -38.0613690024], ""type"": ""Point""}",MGA2020 Zone 55,21906,Strathaird Dr/Sherwood Rd (Narre Warren South),-38.06136900239348,145.28592687337513,3805,349629,5785990,1217,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06136900239348,145.28592687337513/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0559390316, 145.2861900288","{""coordinates"": [145.2861900288, -38.0559390316], ""type"": ""Point""}",MGA2020 Zone 55,21910,Kershaw Dr (Narre Warren South),-38.055939031602556,145.28619002878773,3805,349641,5786593,1221,Narre Warren South,"https://www.google.com.au/maps/dir//-38.055939031602556,145.28619002878773/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0502410419, 145.2853879424","{""coordinates"": [145.2853879424, -38.0502410419], ""type"": ""Point""}",MGA2020 Zone 55,2179,Narre Warren South P-12 College/Ormond Rd (Narre Warren South),-38.05024104186441,145.28538794241936,3805,349559,5787224,1222,Narre Warren South,"https://www.google.com.au/maps/dir//-38.05024104186441,145.28538794241936/@your+location,17z/data=!4m2!4m1!3e0"
"-38.084176984, 145.2926908875","{""coordinates"": [145.2926908875, -38.084176984], ""type"": ""Point""}",MGA2020 Zone 55,23332,Rapallo Way/Thompsons Rd (Cranbourne North),-38.08417698404227,145.2926908874751,3977,350269,5783470,1223,Cranbourne North,"https://www.google.com.au/maps/dir//-38.08417698404227,145.2926908874751/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0711210432, 145.2977831051","{""coordinates"": [145.2977831051, -38.0711210432], ""type"": ""Point""}",MGA2020 Zone 55,23334,Casey Central Park/Narre Warren-Cranbourne Rd (Cranbourne North),-38.071121043226505,145.29778310509602,3805,350689,5784927,1225,Narre Warren South,"https://www.google.com.au/maps/dir//-38.071121043226505,145.29778310509602/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0511900016, 145.3401950743","{""coordinates"": [145.3401950743, -38.0511900016], ""type"": ""Point""}",MGA2020 Zone 55,27921,Centre Rd/Clyde Rd (Berwick),-38.05119000163835,145.34019507430372,3806,354370,5787206,1230,Berwick,"https://www.google.com.au/maps/dir//-38.05119000163835,145.34019507430372/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0515519816, 145.3397198745","{""coordinates"": [145.3397198745, -38.0515519816], ""type"": ""Point""}",MGA2020 Zone 55,27922,Centre Rd/Clyde Rd Rd (Berwick),-38.05155198164481,145.33971987445574,3806,354329,5787165,1231,Berwick,"https://www.google.com.au/maps/dir//-38.05155198164481,145.33971987445574/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0637990017, 145.3377330264","{""coordinates"": [145.3377330264, -38.0637990017], ""type"": ""Point""}",MGA2020 Zone 55,27923,Cresthaven Bvd/Clyde Rd (Berwick),-38.06379900166382,145.33773302638514,3806,354179,5785803,1232,Berwick,"https://www.google.com.au/maps/dir//-38.06379900166382,145.33773302638514/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0815219845, 145.3343680939","{""coordinates"": [145.3343680939, -38.0815219845], ""type"": ""Point""}",MGA2020 Zone 55,27929,Honour Ave/Berwick-Cranbourne Rd (Clyde North),-38.08152198446336,145.3343680938731,3978,353919,5783831,1235,Clyde North,"https://www.google.com.au/maps/dir//-38.08152198446336,145.3343680938731/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0927709934, 145.331957163","{""coordinates"": [145.331957163, -38.0927709934], ""type"": ""Point""}",MGA2020 Zone 55,27932,Hamersley Dr/Berwick-Cranbourne Rd (Clyde North),-38.09277099340514,145.3319571629959,3978,353730,5782579,1237,Clyde North,"https://www.google.com.au/maps/dir//-38.09277099340514,145.3319571629959/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0939910333, 145.3322030396","{""coordinates"": [145.3322030396, -38.0939910333], ""type"": ""Point""}",MGA2020 Zone 55,27935,Hamersley Dr/Berwick-Cranbourne Rd (Clyde North),-38.09399103333318,145.33220303960036,3978,353754,5782444,1240,Clyde North,"https://www.google.com.au/maps/dir//-38.09399103333318,145.33220303960036/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0984679929, 145.3314059909","{""coordinates"": [145.3314059909, -38.0984679929], ""type"": ""Point""}",MGA2020 Zone 55,27937,Plymouth Bvd/Berwick-Cranbourne Rd (Clyde North),-38.09846799292219,145.33140599090882,3978,353693,5781946,1241,Clyde North,"https://www.google.com.au/maps/dir//-38.09846799292219,145.33140599090882/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0985290154, 145.2874309655","{""coordinates"": [145.2874309655, -38.0985290154], ""type"": ""Point""}",MGA2020 Zone 55,45568,Barkly St/Camms Rd (Cranbourne),-38.09852901536224,145.28743096551807,3977,349837,5781869,1258,Cranbourne,"https://www.google.com.au/maps/dir//-38.09852901536224,145.28743096551807/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0546540108, 145.3474911867","{""coordinates"": [145.3474911867, -38.0546540108], ""type"": ""Point""}",MGA2020 Zone 55,45598,Kambrya College/Bemersyde Dr (Berwick),-38.054654010766995,145.34749118671928,3806,355017,5786833,1262,Berwick,"https://www.google.com.au/maps/dir//-38.054654010766995,145.34749118671928/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0680949709, 145.338867021","{""coordinates"": [145.338867021, -38.0680949709], ""type"": ""Point""}",MGA2020 Zone 55,45667,Meadowlands Way/Ridgemont Dr (Berwick),-38.068094970911616,145.33886702102578,3806,354287,5785328,1265,Berwick,"https://www.google.com.au/maps/dir//-38.068094970911616,145.33886702102578/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1177610233, 145.3199698853","{""coordinates"": [145.3199698853, -38.1177610233], ""type"": ""Point""}",MGA2020 Zone 55,51221,Shopping on Clyde/Berwick-Cranbourne Rd (Clyde North),-38.117761023256705,145.31996988534263,3978,352729,5779787,1269,Clyde North,"https://www.google.com.au/maps/dir//-38.117761023256705,145.31996988534263/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1084260446, 145.2907130758","{""coordinates"": [145.2907130758, -38.1084260446], ""type"": ""Point""}",MGA2020 Zone 55,44929,Stawell St/Cameron St (Cranbourne East),-38.10842604460473,145.29071307579719,3977,350145,5780776,1271,Cranbourne,"https://www.google.com.au/maps/dir//-38.10842604460473,145.29071307579719/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0719839622, 145.349426896","{""coordinates"": [145.349426896, -38.0719839622], ""type"": ""Point""}",MGA2020 Zone 55,45678,Kirrabilli Pde/Wurundjeri Bvd (Berwick),-38.071983962195205,145.34942689598807,3806,355221,5784913,1272,Berwick,"https://www.google.com.au/maps/dir//-38.071983962195205,145.34942689598807/@your+location,17z/data=!4m2!4m1!3e0"
"-38.071686962, 145.3443040963","{""coordinates"": [145.3443040963, -38.071686962], ""type"": ""Point""}",MGA2020 Zone 55,45679,Viewgrand Dr/Wurundjeri Bvd (Berwick),-38.07168696199679,145.34430409635047,3806,354771,5784938,1273,Berwick,"https://www.google.com.au/maps/dir//-38.07168696199679,145.34430409635047/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0690589597, 145.3103809274","{""coordinates"": [145.3103809274, -38.0690589597], ""type"": ""Point""}",MGA2020 Zone 55,45704,Dorchester Dr/The Promenade (Narre Warren South),-38.06905895972303,145.3103809273881,3805,351790,5785176,1277,Narre Warren South,"https://www.google.com.au/maps/dir//-38.06905895972303,145.3103809273881/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0716389912, 145.3130690533","{""coordinates"": [145.3130690533, -38.0716389912], ""type"": ""Point""}",MGA2020 Zone 55,45705,Ashmore Ave/Glasscocks Rd (Narre Warren South),-38.071638991240995,145.31306905328623,3805,352031,5784894,1278,Narre Warren South,"https://www.google.com.au/maps/dir//-38.071638991240995,145.31306905328623/@your+location,17z/data=!4m2!4m1!3e0"
